CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
2003-1139,Dixon Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/19/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2003 TRAN Pool,2015000,2015000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,0.896,NIC,,,,07/06/2004 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
2003-1140,Travis Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/19/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2003 TRAN Pool,3030000,3030000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,0.896,NIC,,,,07/06/2004 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
1999-1494,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/05/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,30000000,30000000,0,,General obligation bond,K-12 School Facility,Property tax revenues,5.42,,TIC,,,,08/01/2024 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,Morgan Stanley Dean Witter,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,0.38,115000,,,,167422,,,,,,,,,,
1993-0972,California Loan Purchase Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/25/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,16625000,0,16625000,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Bond proceeds,,5.402,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Neg,Unknown,Sutter Securities Inc,,,,,Orrick Herrington & Sutcliffe LLP,,,,,0,0,,,,211470,,,,,,,,,,
1994-0884,Vallejo (CSCDA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/06/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,TRAN Pool,8185000,8185000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.652,NIC,,,,07/17/1995 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Capital Guaranty Insurance Company,Neg,Unknown,Sutro & Company Inc,,,,HB Capital Resources Inc,Orrick Herrington & Sutcliffe LLP,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,,
1998-1305,Solano County (CSCDA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/04/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,CSCDA 1998 TRAN Pool Series C,20460000,20460000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.021,NIC,,,,09/30/1999 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Morgan Stanley & Co LLC,,,,Sutro & Company Inc,Orrick Herrington & Sutcliffe LLP,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,,
1995-0853,Vallejo (CSCDA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/06/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,1995 Pool Bonds,8710000,8710000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.051,NIC,,,,07/05/1996 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Capital Guaranty Insurance Company,Neg,Unknown,Sutro & Company Inc,,,,HB Capital Resources Inc,Orrick Herrington & Sutcliffe LLP,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,,
2019-1867,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),PROPOSED,01/31/2020 12:00:00 AM,Proposed (http://cdiacdocs.sto.ca.gov/ProposedIssue.pdf),PROPOSED (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),,N/A,,Y,Solano,NO,NO,,Cities,City Government,Series A,16305000,0,16305000,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,,,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Raymond James & Associates Inc,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,,,,,,,,,,,,,,,,,
1985-0096,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/13/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,First Nationwide Savings,12000000,12000000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,9.752,NIC,,,,04/01/1997 12:00:00 AM,N/A,S:A-,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Fiser Financial & Investment Services,,,,,Orrick Herrington & Sutcliffe LLP,,,,,0.37,44525,,,,180000,,,,,,,,,,
1999-1253,Vallejo (CSCDA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/10/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,CSCDA 1999 TRAN Pool Series A-1,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.65,NIC,,,,06/30/2000 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Morgan Stanley & Co LLC,,,,Sutro & Company Inc,Orrick Herrington & Sutcliffe LLP,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,,
2004-0575,Fairfield-Suisun Unified School District,2004-0575.pdf (http://cdiacdocs.sto.ca.gov/2004-0575.pdf),SOLD,06/09/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,55000000,55000000,0,1921074,General obligation bond,K-12 School Facility,Property tax revenues,5.058,,TIC,,,08/01/2014 12:00:00 AM,08/01/2028 12:00:00 AM,NO,S:AAA/A,M:Aaa/A1,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Citigroup Global Markets Inc,,,,Northcross Hill & Ach,Kronick Moskovitz Tiedemann & Girard,,,,U.S. Bank National Association,1.36,747613,,,,463913,,30000,30000,,10000,,,171000,36500,6200
1997-0367,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/10/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,30000000,30000000,0,,General obligation bond,K-12 School Facility,General fund of issuing jurisdiction,5.382,,TIC,,,,08/01/2021 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,BancAmerica Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,First Trust of California NA,0.35,105000,,,,0,,,,,,,,,,
1999-1119,Solano County Board of Education (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/08/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Board of Education,CSCRPA 1999 TRAN Pool Series A,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.092,NIC,,,,07/03/2000 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,0,0,,,,0,,,,,,,,,,
2000-1486,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/12/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,12200000,12200000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.751,NIC,,,,10/24/2001 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,Solano County,0.27,33330,,,,,,,,,,,,,,
2000-0804,Benicia Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/21/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2000 TRAN Pool,5000000,5000000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.271,NIC,,,,07/03/2001 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,,,,,,,,,,,,,,,,
2000-1883,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/13/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,18000000,18000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,3.88,,TIC,,,,12/13/2001 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Morgan Stanley & Co LLC,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,,,Solano County,,,,132300,,33300,,,,,,,,,,
2000-0803,Solano County Board of Education (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/21/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Board of Education,CSCRPA 2000 TRAN Pool,5200000,5200000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.271,NIC,,,,07/03/2001 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,,,,,,,,,,,,,,,,
2016-2543,Travis Unified School District,2016-2543.pdf (http://cdiacdocs.sto.ca.gov/2016-2543.pdf),SOLD,09/27/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,Scandia ESD Series B,6170000,6170000,0,574428.8,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,2.7,2.8,,,,09/01/2026 12:00:00 AM,09/01/2033 12:00:00 AM,NO,S:AA/A,NOT RATED,NOT RATED,NOT RATED,Ins,Build America Mutual Assurance Company/BAM,Neg,NO,Hilltop Securities Inc,,,,Capitol Public Finance Group,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,The Bank of New York Mellon Trust Company NA,3.25,200443.41,27006.25,3665.66,12851.84,43523.75,0,65000,35000,0,20000,0,2000,0,15325,19594.66
1996-0589,Benicia Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/19/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA TRAN Pool Series A,2200000,2200000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Other sources,3.85,,TIC,,,,07/02/1997 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Piper Jaffray Incorporated,,,,,Orrick Herrington & Sutcliffe LLP,,,,First Trust of California NA,0,0,,,,0,,,,,,,,,,
2001-1213,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/05/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,21285000,0,21285000,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,,VAR,,,,10/01/2005 12:00:00 AM,NO,S:AAA/A-,M:Aaa/A2,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Morgan Stanley & Co LLC,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,,,US Trust Company of California NA,,,,,,147803,,,,,,,,,,
2003-2006,Vallejo,2003-2006.pdf (http://cdiacdocs.sto.ca.gov/2003-2006.pdf),SOLD,12/08/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,YES,2003-2005,Cities,City Government,Northeast Quadrant ID No 2003-1 Series A,8170000,8170000,0,-90351.4,Special assessment bond,"Multiple Capital Improvements, Public Works",Special tax revenues,6.257,,TIC,,,09/01/2013 12:00:00 AM,09/01/2034 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Vallejo Public Financing Authority,,Rod Gunn Associates Inc,Jones Hall A Professional Law Corp,,,,Wells Fargo Bank National Association,4.75,388400,0,0,0,163400,0,0,0,0,0,0,0,0,0,225000
2000-1039,Solano County (CSCDA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/07/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,CSCDA 2000 TRAN Pool Series A,20000000,20000000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.27,NIC,,,,06/29/2001 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Morgan Stanley & Co LLC,,,,Sutro & Company Inc,Orrick Herrington & Sutcliffe LLP,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,,
1992-0554,Vallejo Housing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/27/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Housing Authority,Fountain Plaza Hills Apts,5685000,0,5685000,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,,,06/01/2022 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,PaineWebber Inc,,,,CGMS Inc,Orrick Herrington & Sutcliffe LLP,,,,,0,0,,,,53425,,,,,,,,,,
2004-0351,Suisun City,2004-0351.pdf (http://cdiacdocs.sto.ca.gov/2004-0351.pdf),SOLD,03/31/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Civic Ctr,2490000,347100,2142900,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,4.026,NIC,,,11/01/2004 12:00:00 AM,11/01/2015 12:00:00 AM,NO,NOT RATED,M:Baa2,NOT RATED,NOT RATED,,,Neg,Unknown,Western Municipal Securities Corporation,,,,,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,2.44,60750,,,,37350,,,,,,,,,,
2002-1830,Solano County,2002-1830.pdf (http://cdiacdocs.sto.ca.gov/2002-1830.pdf),SOLD,11/13/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,Government Ctr,118325000,118325000,0,4628748,Certificates of participation/leases,Power Generation/Transmission,General fund of issuing jurisdiction,,4.643,NIC,,,11/01/2012 12:00:00 AM,11/01/2032 12:00:00 AM,NO,S:AAA/A,M:Aaa/A2,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Morgan Stanley & Co LLC,,,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,,,Union Bank of California,,,,,,704034,,,,,,,,,,
2002-0049,Vacaville,2002-0049.pdf (http://cdiacdocs.sto.ca.gov/2002-0049.pdf),SOLD,01/17/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,ReAD No 2002,18365000,0,18365000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,5.324,NIC,,,09/02/2010 12:00:00 AM,09/02/2018 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,2.51,461104,,,,198290,,67000,70000,,35000,,1175,,,84984
1998-0968,Benicia Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/25/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 1998 TRAN Pool Ser A,3300000,3300000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.741,NIC,,,,07/02/1999 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Piper Jaffray Incorporated,,,,,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,0,0,,,,0,,,,,,,,,,
1996-1839,Solano County Board of Education (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/11/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Board of Education,CSCRPA Pool TRANs 1996 Ser B,1015000,1015000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,3.687,,TIC,,,,12/19/1997 12:00:00 AM,N/A,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Piper Jaffray Incorporated,,,,,Orrick Herrington & Sutcliffe LLP,,,,First Trust of California NA,0,0,,,,0,,,,,,,,,,
2005-2047,Vallejo Public Financing Authority,2005-2047.pdf (http://cdiacdocs.sto.ca.gov/2005-2047.pdf),SOLD,01/25/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Marine World JPA,14000000,14000000,0,,Revenue anticipation note,"Project, Interim Financing",Private obligor payments,,7,NIC,,Federally Taxable,,11/01/2006 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Six Flags Inc,,The PFM Group/Public Financial Management Inc,Orrick Herrington & Sutcliffe LLP,,,,The Bank of New York Trust Company,,,,,,,,,,,,,,,,
1999-1679,Vallejo City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/30/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,10000000,10000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.39,NIC,,,,10/13/2000 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,Orrick Herrington & Sutcliffe LLP,,,,Solano County,0,0,,,,0,,,,,,,,,,
2013-1598,Dixon Public Financing Authority,2013-1598.pdf (http://cdiacdocs.sto.ca.gov/2013-1598.pdf),SOLD,08/02/2013 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,Reassessment,3798902,-0.45,3798902.45,0,Revenue bond,"Multiple Capital Improvements, Public Works",Local obligations,3.459,3.46,,,,,09/02/2020 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Umpqua Bank,Piper Jaffray & Co,Del Rio Advisors LLC,Orrick Herrington & Sutcliffe LLP,,,,The Bank of New York Mellon Trust Company NA,3.37,128050.03,0,0,0,0,37989.02,13000,37500,0,0,,1500,0,0,38061.01
2002-0992,Dixon Unified School District (CSCRPA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/20/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,CSCRPA 2002 TRAN Pool,2870000,2870000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.67,NIC,,,,07/03/2003 12:00:00 AM,NO,S:SP1+,M:MIG1,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
1998-1996,Intercommunity Hospital Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/08/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,NorthBay Healthcare System,55200000,18405000,36795000,,Certificates of participation/leases,Hospital,Private obligor payments,,5.242,NIC,,,,11/01/2019 12:00:00 AM,N/A,S:A,NOT RATED,NOT RATED,NOT RATED,Ins,American Capital Access Financial Guaranty Corp,Neg,Unknown,Cain Brothers & Co,,,,Kaufman Hall & Associates,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,2.01,1111780,,,,331000,,,,,,,,,,
